SPORT;EVENT;MEDALIST;MEDAL
Archery;Men's Individual;KU Bonchan;GOLD
Archery;Men's Team;Republic of Korea;GOLD
Archery;Women's Individual;CHANG Hyejin;GOLD
Archery;Women's Team;Republic of Korea;GOLD
Artistic Gymnastics;Men's Floor Exercise;WHITLOCK Max;GOLD
Artistic Gymnastics;Men's Horizontal Bar;HAMBUECHEN Fabian;GOLD
Artistic Gymnastics;Men's Individual All-Around;UCHIMURA Kohei;GOLD
Artistic Gymnastics;Men's Parallel Bars;VERNIAIEV Oleg;GOLD
Artistic Gymnastics;Men's Pommel Horse;WHITLOCK Max;GOLD
Artistic Gymnastics;Men's Rings;PETROUNIAS Eleftherios;GOLD
Artistic Gymnastics;Men's Team;Japan;GOLD
Artistic Gymnastics;Men's Vault;RI Se Gwang;GOLD
Artistic Gymnastics;Women's Balance Beam;WEVERS Sanne;GOLD
Artistic Gymnastics;Women's Floor Exercise;BILES Simone;GOLD
Artistic Gymnastics;Women's Individual All-Around;BILES Simone;GOLD
Artistic Gymnastics;Women's Team;United States;GOLD
Artistic Gymnastics;Women's Uneven Bars;MUSTAFINA Aliya;GOLD
Artistic Gymnastics;Women's Vault;BILES Simone;GOLD
Athletics;Men's 10,000m;FARAH Mohamed;GOLD
Athletics;Men's 100m;BOLT Usain;GOLD
Athletics;Men's 110m Hurdles;MCLEOD Omar;GOLD
Athletics;Men's 1500m;CENTROWITZ Matthew;GOLD
Athletics;Men's 200m;BOLT Usain;GOLD
Athletics;Men's 20km Walk;WANG Zhen;GOLD
Athletics;Men's 3000m Steeplechase;KIPRUTO Conseslus;GOLD
Athletics;Men's 4 x 100m Relay;Jamaica;GOLD
Athletics;Men's 4 x 400m Relay;United States;GOLD
Athletics;Men's 400m;VAN NIEKERK Wayde;GOLD
Athletics;Men's 400m Hurdles;CLEMENT Kerron;GOLD
Athletics;Men's 5000m;FARAH Mohamed;GOLD
Athletics;Men's 50km Walk;TOTH Matej;GOLD
Athletics;Men's 800m;RUDISHA David Lekuta;GOLD
Athletics;Men's Decathlon;EATON Ashton;GOLD
Athletics;Men's Discus Throw;HARTING Christoph;GOLD
Athletics;Men's Hammer Throw;NAZAROV Dilshod;GOLD
Athletics;Men's High Jump;DROUIN Derek;GOLD
Athletics;Men's Javelin Throw;ROHLER Thomas;GOLD
Athletics;Men's Long Jump;HENDERSON Jeff;GOLD
